PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=1 ttl=63 time=22.5 ms
64 bytes from 10.0.2.22: icmp_seq=2 ttl=63 time=61.7 ms
64 bytes from 10.0.2.22: icmp_seq=3 ttl=63 time=164 ms
64 bytes from 10.0.2.22: icmp_seq=4 ttl=63 time=260 ms
64 bytes from 10.0.2.22: icmp_seq=5 ttl=63 time=363 ms
64 bytes from 10.0.2.22: icmp_seq=6 ttl=63 time=464 ms
64 bytes from 10.0.2.22: icmp_seq=7 ttl=63 time=571 ms
64 bytes from 10.0.2.22: icmp_seq=8 ttl=63 time=669 ms
64 bytes from 10.0.2.22: icmp_seq=9 ttl=63 time=776 ms
64 bytes from 10.0.2.22: icmp_seq=10 ttl=63 time=878 ms
64 bytes from 10.0.2.22: icmp_seq=11 ttl=63 time=972 ms
64 bytes from 10.0.2.22: icmp_seq=12 ttl=63 time=1073 ms
64 bytes from 10.0.2.22: icmp_seq=13 ttl=63 time=1177 ms
64 bytes from 10.0.2.22: icmp_seq=14 ttl=63 time=1276 ms
64 bytes from 10.0.2.22: icmp_seq=15 ttl=63 time=1373 ms
64 bytes from 10.0.2.22: icmp_seq=16 ttl=63 time=1473 ms
64 bytes from 10.0.2.22: icmp_seq=17 ttl=63 time=1585 ms
64 bytes from 10.0.2.22: icmp_seq=18 ttl=63 time=1693 ms
64 bytes from 10.0.2.22: icmp_seq=19 ttl=63 time=1790 ms
64 bytes from 10.0.2.22: icmp_seq=21 ttl=63 time=1806 ms
64 bytes from 10.0.2.22: icmp_seq=23 ttl=63 time=1806 ms
64 bytes from 10.0.2.22: icmp_seq=25 ttl=63 time=1805 ms
64 bytes from 10.0.2.22: icmp_seq=34 ttl=63 time=1812 ms
64 bytes from 10.0.2.22: icmp_seq=35 ttl=63 time=1817 ms
64 bytes from 10.0.2.22: icmp_seq=37 ttl=63 time=1808 ms
64 bytes from 10.0.2.22: icmp_seq=39 ttl=63 time=1711 ms
64 bytes from 10.0.2.22: icmp_seq=41 ttl=63 time=1608 ms
64 bytes from 10.0.2.22: icmp_seq=42 ttl=63 time=1556 ms
64 bytes from 10.0.2.22: icmp_seq=43 ttl=63 time=1504 ms
64 bytes from 10.0.2.22: icmp_seq=45 ttl=63 time=1401 ms
64 bytes from 10.0.2.22: icmp_seq=49 ttl=63 time=1194 ms
64 bytes from 10.0.2.22: icmp_seq=52 ttl=63 time=989 ms
64 bytes from 10.0.2.22: icmp_seq=54 ttl=63 time=856 ms
64 bytes from 10.0.2.22: icmp_seq=55 ttl=63 time=818 ms
64 bytes from 10.0.2.22: icmp_seq=56 ttl=63 time=819 ms
64 bytes from 10.0.2.22: icmp_seq=57 ttl=63 time=819 ms
64 bytes from 10.0.2.22: icmp_seq=58 ttl=63 time=820 ms
64 bytes from 10.0.2.22: icmp_seq=59 ttl=63 time=815 ms
64 bytes from 10.0.2.22: icmp_seq=61 ttl=63 time=800 ms
64 bytes from 10.0.2.22: icmp_seq=62 ttl=63 time=799 ms
64 bytes from 10.0.2.22: icmp_seq=63 ttl=63 time=796 ms
64 bytes from 10.0.2.22: icmp_seq=64 ttl=63 time=778 ms
64 bytes from 10.0.2.22: icmp_seq=65 ttl=63 time=774 ms
64 bytes from 10.0.2.22: icmp_seq=66 ttl=63 time=777 ms
64 bytes from 10.0.2.22: icmp_seq=67 ttl=63 time=764 ms
64 bytes from 10.0.2.22: icmp_seq=68 ttl=63 time=744 ms
64 bytes from 10.0.2.22: icmp_seq=69 ttl=63 time=755 ms
64 bytes from 10.0.2.22: icmp_seq=70 ttl=63 time=844 ms
64 bytes from 10.0.2.22: icmp_seq=71 ttl=63 time=884 ms
64 bytes from 10.0.2.22: icmp_seq=72 ttl=63 time=904 ms
64 bytes from 10.0.2.22: icmp_seq=73 ttl=63 time=901 ms
64 bytes from 10.0.2.22: icmp_seq=74 ttl=63 time=901 ms
64 bytes from 10.0.2.22: icmp_seq=75 ttl=63 time=900 ms
64 bytes from 10.0.2.22: icmp_seq=76 ttl=63 time=893 ms
64 bytes from 10.0.2.22: icmp_seq=78 ttl=63 time=855 ms
64 bytes from 10.0.2.22: icmp_seq=79 ttl=63 time=853 ms
64 bytes from 10.0.2.22: icmp_seq=80 ttl=63 time=867 ms
64 bytes from 10.0.2.22: icmp_seq=82 ttl=63 time=852 ms
64 bytes from 10.0.2.22: icmp_seq=83 ttl=63 time=852 ms
64 bytes from 10.0.2.22: icmp_seq=84 ttl=63 time=850 ms
64 bytes from 10.0.2.22: icmp_seq=85 ttl=63 time=858 ms
64 bytes from 10.0.2.22: icmp_seq=86 ttl=63 time=844 ms
64 bytes from 10.0.2.22: icmp_seq=87 ttl=63 time=844 ms
64 bytes from 10.0.2.22: icmp_seq=88 ttl=63 time=838 ms
64 bytes from 10.0.2.22: icmp_seq=89 ttl=63 time=845 ms
64 bytes from 10.0.2.22: icmp_seq=91 ttl=63 time=846 ms
64 bytes from 10.0.2.22: icmp_seq=92 ttl=63 time=846 ms
64 bytes from 10.0.2.22: icmp_seq=93 ttl=63 time=839 ms
64 bytes from 10.0.2.22: icmp_seq=94 ttl=63 time=839 ms
64 bytes from 10.0.2.22: icmp_seq=96 ttl=63 time=826 ms
64 bytes from 10.0.2.22: icmp_seq=97 ttl=63 time=816 ms
64 bytes from 10.0.2.22: icmp_seq=98 ttl=63 time=815 ms
64 bytes from 10.0.2.22: icmp_seq=100 ttl=63 time=815 ms
64 bytes from 10.0.2.22: icmp_seq=101 ttl=63 time=813 ms
64 bytes from 10.0.2.22: icmp_seq=102 ttl=63 time=813 ms
64 bytes from 10.0.2.22: icmp_seq=103 ttl=63 time=807 ms
64 bytes from 10.0.2.22: icmp_seq=105 ttl=63 time=816 ms
64 bytes from 10.0.2.22: icmp_seq=106 ttl=63 time=830 ms
64 bytes from 10.0.2.22: icmp_seq=107 ttl=63 time=832 ms
64 bytes from 10.0.2.22: icmp_seq=108 ttl=63 time=828 ms
64 bytes from 10.0.2.22: icmp_seq=109 ttl=63 time=831 ms
64 bytes from 10.0.2.22: icmp_seq=110 ttl=63 time=836 ms
64 bytes from 10.0.2.22: icmp_seq=111 ttl=63 time=829 ms
64 bytes from 10.0.2.22: icmp_seq=112 ttl=63 time=777 ms
64 bytes from 10.0.2.22: icmp_seq=113 ttl=63 time=720 ms
64 bytes from 10.0.2.22: icmp_seq=114 ttl=63 time=663 ms
64 bytes from 10.0.2.22: icmp_seq=115 ttl=63 time=611 ms
64 bytes from 10.0.2.22: icmp_seq=116 ttl=63 time=561 ms
64 bytes from 10.0.2.22: icmp_seq=117 ttl=63 time=505 ms
64 bytes from 10.0.2.22: icmp_seq=118 ttl=63 time=469 ms
64 bytes from 10.0.2.22: icmp_seq=119 ttl=63 time=448 ms
64 bytes from 10.0.2.22: icmp_seq=120 ttl=63 time=449 ms
64 bytes from 10.0.2.22: icmp_seq=121 ttl=63 time=448 ms
64 bytes from 10.0.2.22: icmp_seq=122 ttl=63 time=446 ms
64 bytes from 10.0.2.22: icmp_seq=123 ttl=63 time=447 ms
64 bytes from 10.0.2.22: icmp_seq=124 ttl=63 time=446 ms
64 bytes from 10.0.2.22: icmp_seq=125 ttl=63 time=446 ms
64 bytes from 10.0.2.22: icmp_seq=126 ttl=63 time=447 ms
64 bytes from 10.0.2.22: icmp_seq=127 ttl=63 time=450 ms
64 bytes from 10.0.2.22: icmp_seq=128 ttl=63 time=448 ms
64 bytes from 10.0.2.22: icmp_seq=129 ttl=63 time=452 ms
64 bytes from 10.0.2.22: icmp_seq=130 ttl=63 time=454 ms
64 bytes from 10.0.2.22: icmp_seq=131 ttl=63 time=457 ms
64 bytes from 10.0.2.22: icmp_seq=132 ttl=63 time=456 ms
64 bytes from 10.0.2.22: icmp_seq=133 ttl=63 time=461 ms
64 bytes from 10.0.2.22: icmp_seq=134 ttl=63 time=452 ms
64 bytes from 10.0.2.22: icmp_seq=135 ttl=63 time=453 ms
